category,key_term,fact_type,value,confidence,source_url,source_title
Error Correcting Codes,applications,tech,"RAM (ECC memory), disk drives, CD/DVD, QR codes, satellite communication, Wi-Fi, 4G/5G, deep space communication",1.0,https://en.wikipedia.org/wiki/Error_correction_code,Error Correction Code - Wikipedia
Error Correcting Codes,applications,product,"CD, DVD, Blu-ray, QR codes, DVB broadcast, satellite comms, RAID 6, Xerox PARC file system",1.0,https://en.wikipedia.org/wiki/Reed%E2%80%93Solomon_error_correction,Reed-Solomon Error Correction - Wikipedia
Error Correcting Codes,burst_error,tech,Excels at burst error correction — single symbol error can represent multiple consecutive corrupted bits,1.0,https://en.wikipedia.org/wiki/Reed%E2%80%93Solomon_error_correction,Reed-Solomon Error Correction - Wikipedia
Error Correcting Codes,decoding,tech,"Berlekamp-Massey algorithm (error locator), Forney algorithm (error magnitudes)",1.0,https://en.wikipedia.org/wiki/Reed%E2%80%93Solomon_error_correction,Reed-Solomon Error Correction - Wikipedia
Error Correcting Codes,definition,tech,"Non-binary cyclic error-correcting code over Galois field GF(2^m), works on symbols not bits",1.0,https://en.wikipedia.org/wiki/Reed%E2%80%93Solomon_error_correction,Reed-Solomon Error Correction - Wikipedia
Error Correcting Codes,erasure_coding,tech,"Can recover lost symbols — used in RAID 6, distributed storage, Fountain codes (RS-based)",1.0,https://en.wikipedia.org/wiki/Reed%E2%80%93Solomon_error_correction,Reed-Solomon Error Correction - Wikipedia
Error Correcting Codes,fec,tech,Forward Error Correction — receiver corrects errors without retransmission; essential for one-way or high-latency channels,1.0,https://en.wikipedia.org/wiki/Error_correction_code,Error Correction Code - Wikipedia
Error Correcting Codes,hamming_distance,tech,"Minimum bit flips between valid codewords; distance d detects d-1 errors, corrects floor((d-1)/2)",1.0,https://en.wikipedia.org/wiki/Error_correction_code,Error Correction Code - Wikipedia
Error Correcting Codes,parameters,tech,"RS(n, k): n total symbols, k data symbols, n-k parity symbols; corrects floor((n-k)/2) symbol errors",1.0,https://en.wikipedia.org/wiki/Reed%E2%80%93Solomon_error_correction,Reed-Solomon Error Correction - Wikipedia
Error Correcting Codes,parity_placement,tech,"Parity bits at positions that are powers of 2 (1, 2, 4, 8, ...); each covers a specific subset of data bits",1.0,https://en.wikipedia.org/wiki/Hamming_code,Hamming Code - Wikipedia
Error Correcting Codes,seccd,tech,"Extended Hamming: single error correction, double error detection — widely used in ECC memory",1.0,https://en.wikipedia.org/wiki/Hamming_code,Hamming Code - Wikipedia
Error Correcting Codes,shannon_limit,tech,Shannon's theorem proves codes exist for any rate below channel capacity with arbitrarily low error — but finding them is hard,1.0,https://en.wikipedia.org/wiki/Error_correction_code,Error Correction Code - Wikipedia
Error Correcting Codes,syndrome_decoding,tech,Syndrome (mismatch pattern) directly encodes the error position — modulo-2 arithmetic identifies the faulty bit,1.0,https://en.wikipedia.org/wiki/Hamming_code,Hamming Code - Wikipedia
Error Correcting Codes,types,tech,"Parity (detection only), Hamming (single-error correction), Reed-Solomon (burst errors), BCH, LDPC, turbo codes",1.0,https://en.wikipedia.org/wiki/Error_correction_code,Error Correction Code - Wikipedia
Family & Kinship,core_entities,tech,"Person (name, dates, places, gender), Relationship (parent-child, spouse), Event (birth, marriage, death), Source",1.0,https://en.wikipedia.org/wiki/Genealogy,Genealogy - Wikipedia
Family & Kinship,data_format,tech,GEDCOM (Genealogical Data Communication) — standard interchange format for family tree data,1.0,https://en.wikipedia.org/wiki/Genealogy,Genealogy - Wikipedia
Family & Kinship,extended_family,tech,"Grandparents, aunts/uncles, cousins, in-laws, step-relations, adopted relations",1.0,https://en.wikipedia.org/wiki/Genealogy,Genealogy - Wikipedia
Family & Kinship,format,tech,Hierarchical tagged text format with cross-reference IDs and indented levels,1.0,https://en.wikipedia.org/wiki/GEDCOM,GEDCOM - Wikipedia
Family & Kinship,gap,research_gap,Kinship terminology complexity — cultural variation in how relatives are classified and named — is underexplored in computational models,1.0,https://en.wikipedia.org/wiki/Kinship,Kinship - Wikipedia
Family & Kinship,kinship_systems,tech,"Eskimo, Hawaiian, Iroquois, Omaha, Sudan — cultural classification systems for relatives",1.0,https://en.wikipedia.org/wiki/Genealogy,Genealogy - Wikipedia
Family & Kinship,limitation,tech,"No standard way to represent complex relationships (civil unions, non-traditional families), limited semantic expressiveness",1.0,https://en.wikipedia.org/wiki/GEDCOM,GEDCOM - Wikipedia
Family & Kinship,records,tech,"INDI (individual), FAM (family), SOUR (source), REPO (repository), HEAD (header), SUBM (submitter)",1.0,https://en.wikipedia.org/wiki/GEDCOM,GEDCOM - Wikipedia
Family & Kinship,relationship_types,tech,"Consanguineal (blood), affine (marriage), fictive (social/bond) — three fundamental categories",1.0,https://en.wikipedia.org/wiki/Kinship,Kinship - Wikipedia
Family & Kinship,terminology_systems,tech,"Eskimo (nuclear family focus), Hawaiian (generational), Iroquois (lineal vs collateral distinction), Omaha (patrilineal), Sudanic",1.0,https://en.wikipedia.org/wiki/Kinship,Kinship - Wikipedia
Family & Kinship,version,tech,5.5 most widely supported; 5.5.1 proposed; 7.0 released 2021 with JSON support,1.0,https://en.wikipedia.org/wiki/GEDCOM,GEDCOM - Wikipedia
Graph-Native Programming,approaches,tech,"Double-pushout (DPO), single-pushout (SPO), algebraic approach via category theory",1.0,https://en.wikipedia.org/wiki/Graph_rewriting,Graph Rewriting - Wikipedia
Graph-Native Programming,confluence,tech,Church-Rosser property ensures same result regardless of rule application order — essential for parallel execution,1.0,https://en.wikipedia.org/wiki/Graph_rewriting,Graph Rewriting - Wikipedia
Graph-Native Programming,definition,tech,Directed graph where nodes are basic blocks and edges are control flow transfers,1.0,https://en.wikipedia.org/wiki/Control-flow_graph,Control-Flow Graph - Wikipedia
Graph-Native Programming,examples,product,"Scratch, LabVIEW, Simulink, Unreal Blueprints, Unity Visual Scripting, Node-RED, Max/MSP",1.0,https://en.wikipedia.org/wiki/Visual_programming_language,Visual Programming Language - Wikipedia
Graph-Native Programming,formalism,tech,Graph rewrite rules: pattern (LHS) matched and replaced with (RHS),1.0,https://en.wikipedia.org/wiki/Graph_rewriting,Graph Rewriting - Wikipedia
Graph-Native Programming,gap,research_gap,Graph rewriting systems exist but are not integrated into mainstream general-purpose programming as a visual-first paradigm,1.0,https://en.wikipedia.org/wiki/Graph_rewriting,Graph Rewriting - Wikipedia
Graph-Native Programming,gap,research_gap,No general-purpose visual-first language for graph-native software engineering exists,1.0,https://en.wikipedia.org/wiki/Visual_programming_language,Visual Programming Language - Wikipedia
Graph-Native Programming,limitation,tech,Most VPLs are domain-specific; few are general-purpose for software engineering,1.0,https://en.wikipedia.org/wiki/Visual_programming_language,Visual Programming Language - Wikipedia
Graph-Native Programming,paradigm,tech,"Visual/spatial programming — code expressed as diagrams, blocks, or graphs",1.0,https://en.wikipedia.org/wiki/Visual_programming_language,Visual Programming Language - Wikipedia
Graph-Native Programming,related_concepts,tech,"Data-flow graph, program dependence graph, call graph",1.0,https://en.wikipedia.org/wiki/Control-flow_graph,Control-Flow Graph - Wikipedia
Graph-Native Programming,systems,product,"GP2, AGG, ReWrite, graph transformation tools",1.0,https://en.wikipedia.org/wiki/Graph_rewriting,Graph Rewriting - Wikipedia
Graph-Native Programming,types,tech,"Dataflow, form-based, icon-based, graph-based, sketch-based",1.0,https://en.wikipedia.org/wiki/Visual_programming_language,Visual Programming Language - Wikipedia
Graph-Native Programming,use_cases,tech,"Compiler optimization, static analysis, program slicing, debugging",1.0,https://en.wikipedia.org/wiki/Control-flow_graph,Control-Flow Graph - Wikipedia
Hardware Reverse Engineering,acid,tech,"Fuming nitric + sulfuric acid — gold standard, precise, but extremely dangerous and requires lab setup",1.0,https://www.netspi.com/blog/technical-blog/hardware-and-embedded-systems-penetration-testing/practical-methods-for-decapping-chips/,Practical Methods for Decapping Chips - NetSPI
Hardware Reverse Engineering,cost,tech,Expensive: tens of thousands of dollars per chip; requires specialized lab equipment and expertise,1.0,https://lumenci.com/blogs/semiconductor-reverse-engineering-process/,Semiconductor Reverse Engineering: The Complete Process - Lumenci
Hardware Reverse Engineering,decapsulation_methods,tech,"Acid etching (fuming nitric + sulfuric), mechanical grinding, laser ablation — each with trade-offs in damage and resolution",1.0,https://lumenci.com/blogs/semiconductor-reverse-engineering-process/,Semiconductor Reverse Engineering: The Complete Process - Lumenci
Hardware Reverse Engineering,gap,research_gap,"No safe, cheap, accessible method for hobbyists to perform full chip circuit extraction — the barrier to hardware RE is high",1.0,https://www.netspi.com/blog/technical-blog/hardware-and-embedded-systems-penetration-testing/practical-methods-for-decapping-chips/,Practical Methods for Decapping Chips - NetSPI
Hardware Reverse Engineering,grinding,tech,"Sandpaper/grind bottom of chip — keeps chip potentially functional, no acid, luck-dependent results",1.0,https://www.netspi.com/blog/technical-blog/hardware-and-embedded-systems-penetration-testing/practical-methods-for-decapping-chips/,Practical Methods for Decapping Chips - NetSPI
Hardware Reverse Engineering,heat_force,tech,"Heat gun (~800F) then break epoxy — simple, destructive, die visible for forensic ID but not circuit analysis",1.0,https://www.netspi.com/blog/technical-blog/hardware-and-embedded-systems-penetration-testing/practical-methods-for-decapping-chips/,Practical Methods for Decapping Chips - NetSPI
Hardware Reverse Engineering,ic_re,tech,"Destructive: decapsulate, delayered, image, extract netlist — expensive, expert-intensive, chip is destroyed",1.0,https://ghbintellect.com/hardware-reverse-engineering/,What is Hardware Reverse Engineering? - GHB Intellect
Hardware Reverse Engineering,imaging,tech,SEM (scanning electron microscopy) for high-res top-down; TEM (transmission) for cross-sections; optical for overview,1.0,https://lumenci.com/blogs/semiconductor-reverse-engineering-process/,Semiconductor Reverse Engineering: The Complete Process - Lumenci
Hardware Reverse Engineering,legacy_hardware,tech,"Older chips (larger geometries, fewer gates) are more feasible for full IC RE — relevant for attic/basement hardware revival",1.0,https://ghbintellect.com/hardware-reverse-engineering/,What is Hardware Reverse Engineering? - GHB Intellect
Hardware Reverse Engineering,pcb_re,tech,"Non-destructive: photograph, trace, identify components, reconstruct schematic — feasible with modest equipment",1.0,https://ghbintellect.com/hardware-reverse-engineering/,What is Hardware Reverse Engineering? - GHB Intellect
Hardware Reverse Engineering,pipeline,tech,Decapsulation -> Delayering -> Imaging (SEM/TEM/optical) -> Circuit extraction (netlist reconstruction) -> Analysis,1.0,https://lumenci.com/blogs/semiconductor-reverse-engineering-process/,Semiconductor Reverse Engineering: The Complete Process - Lumenci
Hardware Reverse Engineering,rayv_lite,tech,1064nm light source + camera system for seeing into chips from the bottom side — used for fault injection and side-channel analysis,1.0,https://www.netspi.com/blog/technical-blog/hardware-and-embedded-systems-penetration-testing/practical-methods-for-decapping-chips/,Practical Methods for Decapping Chips - NetSPI
Hardware Reverse Engineering,software_tools,tech,"Commercial tools for image alignment, layer stacking, gate annotation, and netlist extraction — expensive and specialized",1.0,https://ghbintellect.com/hardware-reverse-engineering/,What is Hardware Reverse Engineering? - GHB Intellect
Hardware Reverse Engineering,standard_cell_recognition,tech,"Identifying standard cell layouts (inverters, NAND, NOR, flip-flops) from imaging is key to netlist reconstruction",1.0,https://lumenci.com/blogs/semiconductor-reverse-engineering-process/,Semiconductor Reverse Engineering: The Complete Process - Lumenci
Information Theory,bit_definition,tech,"Shannon formally introduced the 'bit' as a unit of information (binary digit, credited to John Tukey)",1.0,https://en.wikipedia.org/wiki/A_Mathematical_Theory_of_Communication,A Mathematical Theory of Communication - Wikipedia
Information Theory,capacity_definition,tech,C = max I(X;Y) — maximum mutual information between channel input and output over all input distributions,1.0,https://en.wikipedia.org/wiki/Noisy-channel_coding_theorem,Noisy-Channel Coding Theorem - Wikipedia
Information Theory,communication_model,tech,Source -> Transmitter (encoder) -> Channel (possibly noisy) -> Receiver (decoder) -> Destination,1.0,https://en.wikipedia.org/wiki/A_Mathematical_Theory_of_Communication,A Mathematical Theory of Communication - Wikipedia
Information Theory,entropy,tech,H = -Σ pi log2 pi — average information per symbol; also the theoretical minimum compression limit (source coding theorem),1.0,https://en.wikipedia.org/wiki/A_Mathematical_Theory_of_Communication,A Mathematical Theory of Communication - Wikipedia
Information Theory,impact,tech,Called 'Magna Carta of the Information Age' — founded the mathematical discipline of information theory,1.0,https://en.wikipedia.org/wiki/A_Mathematical_Theory_of_Communication,A Mathematical Theory of Communication - Wikipedia
Information Theory,non_constructive,tech,Theorem proves codes EXIST below capacity but doesn't construct them — finding practical near-capacity codes was a decades-long effort,1.0,https://en.wikipedia.org/wiki/Noisy-channel_coding_theorem,Noisy-Channel Coding Theorem - Wikipedia
Information Theory,practical_codes,tech,"LDPC codes and turbo codes approach the Shannon limit within fractions of a dB — used in 4G, 5G, Wi-Fi, DVB-S2",1.0,https://en.wikipedia.org/wiki/Noisy-channel_coding_theorem,Noisy-Channel Coding Theorem - Wikipedia
Information Theory,proof_approach,tech,Achievability via random coding + typical set decoding; converse via Fano's inequality bounding error from below,1.0,https://en.wikipedia.org/wiki/Noisy-channel_coding_theorem,Noisy-Channel Coding Theorem - Wikipedia
Information Theory,redundancy,tech,Adding redundancy enables error correction — the trade-off between data rate and reliability,1.0,https://en.wikipedia.org/wiki/A_Mathematical_Theory_of_Communication,A Mathematical Theory of Communication - Wikipedia
Information Theory,shannon_hartley,tech,For bandlimited AWGN channel: C = W * log2(1 + S/N) — capacity depends on bandwidth W and signal-to-noise ratio,1.0,https://en.wikipedia.org/wiki/Noisy-channel_coding_theorem,Noisy-Channel Coding Theorem - Wikipedia
Information Theory,theorem,tech,"For any discrete memoryless channel with capacity C: reliable communication is possible at any rate R < C, impossible at R > C",1.0,https://en.wikipedia.org/wiki/Noisy-channel_coding_theorem,Noisy-Channel Coding Theorem - Wikipedia
Machine-Level Computing,abstraction_level,tech,"Direct hardware access — registers, memory, stack, CPU flags — no runtime abstractions",1.0,https://en.wikipedia.org/wiki/Assembly_language,Assembly Language - Wikipedia
Machine-Level Computing,characteristic,tech,"Architecture-specific — x86, ARM, RISC-V, MIPS each have different assembly",1.0,https://en.wikipedia.org/wiki/Assembly_language,Assembly Language - Wikipedia
Machine-Level Computing,components,tech,"ALU (arithmetic/logic), control unit, registers, program counter, cache",1.0,https://en.wikipedia.org/wiki/Central_processing_unit,CPU - Wikipedia
Machine-Level Computing,cycle,tech,Fetch-decode-execute-writeback: the fundamental CPU instruction cycle,1.0,https://en.wikipedia.org/wiki/Central_processing_unit,CPU - Wikipedia
Machine-Level Computing,definition,tech,Low-level language with 1:1 correspondence between mnemonics and machine instructions,1.0,https://en.wikipedia.org/wiki/Assembly_language,Assembly Language - Wikipedia
Machine-Level Computing,instruction_set,tech,"The ISA defines opcodes, operand types, addressing modes, and register layout",1.0,https://en.wikipedia.org/wiki/Central_processing_unit,CPU - Wikipedia
Machine-Level Computing,modern_features,tech,"Pipelining, out-of-order execution, branch prediction, speculative execution, superscalar",1.0,https://en.wikipedia.org/wiki/Central_processing_unit,CPU - Wikipedia
Machine-Level Computing,use_cases,tech,"Bootloaders, device drivers, embedded systems, reverse engineering, performance-critical code",1.0,https://en.wikipedia.org/wiki/Assembly_language,Assembly Language - Wikipedia
Neo4j,data_model,tech,"Property graph — nodes, relationships, properties",1.0,https://en.wikipedia.org/wiki/Neo4j,Neo4j - Wikipedia
Neo4j,implementation,tech,"Java, runs on JVM",1.0,https://en.wikipedia.org/wiki/Neo4j,Neo4j - Wikipedia
Neo4j,index_free_adjacency,tech,Nodes point directly to adjacent nodes — O(1) per hop traversal,1.0,https://neo4j.com/docs/,Neo4j Documentation
Neo4j,license,product,"GPLv3 (community), commercial (enterprise)",1.0,https://neo4j.com/product/neo4j-graph-database/,Neo4j Graph Database - Official Product Page
Neo4j,name,product,Neo4j,1.0,https://en.wikipedia.org/wiki/Neo4j,Neo4j - Wikipedia
Neo4j,page_cache,tech,Memory-mapped file access with page cache management,1.0,https://neo4j.com/docs/,Neo4j Documentation
Neo4j,query_language,tech,"Cypher (declarative, SQL-like for graphs)",1.0,https://en.wikipedia.org/wiki/Neo4j,Neo4j - Wikipedia
Neo4j,storage,tech,Native graph storage with index-free adjacency,1.0,https://en.wikipedia.org/wiki/Neo4j,Neo4j - Wikipedia
Neo4j,storage_engine,tech,"Custom binary format, fixed-size records, direct pointers for adjacency",1.0,https://neo4j.com/docs/,Neo4j Documentation
Neo4j,transaction_lock,tech,Lock-based concurrency control with deadlocks detection,1.0,https://neo4j.com/docs/,Neo4j Documentation
Neo4j,transactions,tech,ACID compliant,1.0,https://en.wikipedia.org/wiki/Neo4j,Neo4j - Wikipedia
Neo4j,type,product,Native graph database management system,1.0,https://en.wikipedia.org/wiki/Neo4j,Neo4j - Wikipedia
Neo4j,type,product,Enterprise graph database with community edition,1.0,https://neo4j.com/product/neo4j-graph-database/,Neo4j Graph Database - Official Product Page
Neo4j,wal,tech,Write-ahead log for transaction durability,1.0,https://neo4j.com/docs/,Neo4j Documentation
Open-Source Drivers,amd_documentation,tech,AMD releases GPU documentation without NDA — allows fully open-source drivers without reverse engineering,1.0,https://en.wikipedia.org/wiki/Free_and_open-source_graphics_device_driver,Free and Open-Source Graphics Device Driver - Wikipedia
Open-Source Drivers,atomic_modesetting,tech,Atomic modesetting API allows multiple display state changes in a single transaction — required for modern display management,1.0,https://www.kernel.org/doc/html/latest/gpu/index.html,GPU Driver Developer's Guide - Linux Kernel Documentation
Open-Source Drivers,binary_blob_problem,tech,"Proprietary drivers taint kernel, break with kernel updates, can't use GPL-only APIs, hard to debug — Linus Torvalds refuses to consider binary modules",1.0,https://en.wikipedia.org/wiki/Free_and_open-source_graphics_device_driver,Free and Open-Source Graphics Device Driver - Wikipedia
Open-Source Drivers,dma_buf,tech,DMA-BUF framework allows buffer sharing between kernel drivers and userspace — essential for zero-copy pipeline,1.0,https://www.kernel.org/doc/html/latest/gpu/index.html,GPU Driver Developer's Guide - Linux Kernel Documentation
Open-Source Drivers,drm_subsystem,tech,"Kernel DRM provides buffer management, synchronization, device access control, and userspace ioctl API",1.0,https://www.kernel.org/doc/html/latest/gpu/index.html,GPU Driver Developer's Guide - Linux Kernel Documentation
Open-Source Drivers,mesa_drivers,tech,"radeonsi (AMD GCN+), iris (Intel), nouveau (NVIDIA), freedreno (Qualcomm Adreno), panfrost (Mali)",1.0,https://en.wikipedia.org/wiki/Free_and_open-source_graphics_device_driver,Free and Open-Source Graphics Device Driver - Wikipedia
Open-Source Drivers,nvidia_open_kernel,tech,May 2022: NVIDIA open-sourced Linux kernel modules (GPL/MIT) but kept user-space closed — a partial opening,1.0,https://en.wikipedia.org/wiki/Free_and_open-source_graphics_device_driver,Free and Open-Source Graphics Device Driver - Wikipedia
Open-Source Drivers,stack_layers,tech,"Kernel DRM driver (hardware, memory, security) -> Mesa (OpenGL/Vulkan userspace) -> Application",1.0,https://en.wikipedia.org/wiki/Free_and_open-source_graphics_device_driver,Free and Open-Source Graphics Device Driver - Wikipedia
Open-Source Drivers,ttm_vs_gem,tech,"TTM (Translation Table Manager) — older buffer/_memory manager; GEM (Graphics Execution Manager) — newer, simpler, used by Intel and AMD",1.0,https://www.kernel.org/doc/html/latest/gpu/index.html,GPU Driver Developer's Guide - Linux Kernel Documentation
Open-Source Drivers,wayland_requirement,tech,"Atomic modesetting + DMA-BUF required for Wayland — open drivers had these early, proprietary drivers lagged",1.0,https://en.wikipedia.org/wiki/Free_and_open-source_graphics_device_driver,Free and Open-Source Graphics Device Driver - Wikipedia
Programming Paradigms,concurrent,tech,"Multiple threads — actor model, CSP, dataflow, synchronous, process-oriented; sub-paradigm: reactive (data streams + change propagation)",1.0,https://en.wikipedia.org/wiki/Programming_paradigm,Programming Paradigm - Wikipedia
Programming Paradigms,declarative,tech,"Describe what, not how — SQL, HTML, functional, logic; sub-paradigms: functional, logic, query",1.0,https://en.wikipedia.org/wiki/Programming_paradigm,Programming Paradigm - Wikipedia
Programming Paradigms,functional,tech,"Mathematical function evaluation, immutability, no side effects — Haskell, Lisp, ML; pure vs impure (allows side effects)",1.0,https://en.wikipedia.org/wiki/Programming_paradigm,Programming Paradigm - Wikipedia
Programming Paradigms,functional_contribution,tech,"Lisp: lambda calculus, first-class functions, garbage collection, homoiconicity (code as data); ML: static typing + inference; Haskell: purity, laziness, monads",1.0,https://ethw.org/Past_programming_languages_and_their_influences_on_today%27s_languages_and_programming_paradigms,Past Programming Languages and Their Influences - ETHW
Programming Paradigms,history,tech,Paradigm concept from Floyd's 1978 Turing Award lecture; structured programming from mid-1960s as reaction to spaghetti code/goto,1.0,https://en.wikipedia.org/wiki/Programming_paradigm,Programming Paradigm - Wikipedia
Programming Paradigms,imperative,tech,"Explicit step-by-step state changes — C, Pascal, FORTRAN, BASIC; sub-paradigms: procedural, structured, modular",1.0,https://en.wikipedia.org/wiki/Programming_paradigm,Programming Paradigm - Wikipedia
Programming Paradigms,logic,tech,"Facts + rules + automated reasoning — Prolog, Datalog; computation as inference over knowledge base",1.0,https://en.wikipedia.org/wiki/Programming_paradigm,Programming Paradigm - Wikipedia
Programming Paradigms,multi_paradigm,tech,"Most modern languages support multiple paradigms — C++, Python, JavaScript, Scala, Rust, Swift",1.0,https://en.wikipedia.org/wiki/Programming_paradigm,Programming Paradigm - Wikipedia
Programming Paradigms,oop,tech,"Objects with state + behavior, encapsulation, inheritance, polymorphism — Simula, Smalltalk, Java, C++; class-based vs prototype-based",1.0,https://en.wikipedia.org/wiki/Programming_paradigm,Programming Paradigm - Wikipedia
Programming Paradigms,oop_contribution,tech,"Simula: first classes/objects; Smalltalk: pure OOP, everything is an object, MVC pattern, GUI integration; C++/Java: OOP mainstreamed",1.0,https://ethw.org/Past_programming_languages_and_their_influences_on_today%27s_languages_and_programming_paradigms,Past Programming Languages and Their Influences - ETHW
Programming Paradigms,procedural_contribution,tech,"FORTRAN/COBOL/ALGOL/C introduced: portability via compilers, abstraction from hardware, procedure/function decomposition, type systems",1.0,https://ethw.org/Past_programming_languages_and_their_influences_on_today%27s_languages_and_programming_paradigms,Past Programming Languages and Their Influences - ETHW
Programming Paradigms,structured_contribution,tech,"Dijkstra's 'Goto Considered Harmful' (1968) — replaced goto with structured control flow (if/then/else, while, for), improved readability and correctness reasoning",1.0,https://ethw.org/Past_programming_languages_and_their_influences_on_today%27s_languages_and_programming_paradigms,Past Programming Languages and Their Influences - ETHW
Programming Paradigms,timeline,tech,"Machine/assembly (1950s) -> Procedural high-level (1950s-60s: FORTRAN, COBOL, ALGOL, C) -> OOP (1960s-70s: Simula, Smalltalk) -> Functional (1958+: Lisp, ML, Haskell) -> Logic (1970s: Prolog) -> Structured (1960s: reaction to goto)",1.0,https://ethw.org/Past_programming_languages_and_their_influences_on_today%27s_languages_and_programming_paradigms,Past Programming Languages and Their Influences - ETHW
Software Engineering at Machine Level,calling_conventions,tech,Understanding how arguments and return values pass between functions is foundational,1.0,https://en.wikipedia.org/wiki/Reverse_engineering,Reverse Engineering - Wikipedia
Software Engineering at Machine Level,challenges,tech,"No symbols, compiler-optimized code, stripped binaries, obfuscation, mixed code/data sections",1.0,https://en.wikipedia.org/wiki/Reverse_engineering,Reverse Engineering - Wikipedia
Software Engineering at Machine Level,common_bugs,tech,"Memory leaks, dangling pointers, buffer overflows, use-after-free — all rooted in manual memory management",1.0,https://en.wikipedia.org/wiki/Memory_management,Memory Management - Wikipedia
Software Engineering at Machine Level,gc_vs_manual,tech,"Garbage collection automates memory reclamation (Java, Python) vs manual (C, C++) vs ownership systems (Rust)",1.0,https://en.wikipedia.org/wiki/Memory_management,Memory Management - Wikipedia
Software Engineering at Machine Level,memory_mapped_io,tech,Hardware registers mapped into address space — programs interact with devices via memory reads/writes,1.0,https://en.wikipedia.org/wiki/Memory_management,Memory Management - Wikipedia
Software Engineering at Machine Level,stack_vs_heap,tech,"Stack grows downward (function calls, local variables); heap grows upward (dynamic allocation, malloc/new)",1.0,https://en.wikipedia.org/wiki/Memory_management,Memory Management - Wikipedia
Software Engineering at Machine Level,techniques,tech,"Static analysis (disassembly, decompilation), dynamic analysis (debugging, tracing, instrumentation)",1.0,https://en.wikipedia.org/wiki/Reverse_engineering,Reverse Engineering - Wikipedia
Software Engineering at Machine Level,tools,tech,"Disassemblers (IDA Pro, Ghidra, Radare2), decompilers, debuggers (GDB, x64dbg), hex editors",1.0,https://en.wikipedia.org/wiki/Reverse_engineering,Reverse Engineering - Wikipedia
Software Engineering at Machine Level,virtual_memory,tech,MMU translates virtual to physical addresses via page tables; each process gets its own address space,1.0,https://en.wikipedia.org/wiki/Memory_management,Memory Management - Wikipedia
WebAssembly,atomic_ops,tech,Lock-free atomic operators for 8/16/32-bit required (and 64-bit for wasm64) — enables threads and shared memory,1.0,https://webassembly.org/docs/portability/,WebAssembly Portability Documentation
WebAssembly,binary_format,tech,"Compact, modular, efficient single-pass decode/validate/compile, streamable, parallelizable",1.0,https://webassembly.github.io/spec/core/intro/introduction.html,"WebAssembly Core Specification Introduction (3.0, 2026)"
